"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","pprofessional","TimeFrame","GeoVintage","Source","Location"
"Census Tract","06067000100","CA","06067000100","=""06067000100""","6.88","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067000200","CA","06067000200","=""06067000200""","7.53","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067000300","CA","06067000300","=""06067000300""","11.38","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067000400","CA","06067000400","=""06067000400""","5.38","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067000501","CA","06067000501","=""06067000501""","4.29","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067000502","CA","06067000502","=""06067000502""","8.16","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067000600","CA","06067000600","=""06067000600""","7.75","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067000700","CA","06067000700","=""06067000700""","0.68","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067000800","CA","06067000800","=""06067000800""","2.06","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067001102","CA","06067001102","=""06067001102""","12.98","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067001103","CA","06067001103","=""06067001103""","6.03","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067001201","CA","06067001201","=""06067001201""","10.12","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067001202","CA","06067001202","=""06067001202""","6.20","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067001300","CA","06067001300","=""06067001300""","5.85","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067001400","CA","06067001400","=""06067001400""","5.95","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067001500","CA","06067001500","=""06067001500""","13.64","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067001601","CA","06067001601","=""06067001601""","9.61","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067001602","CA","06067001602","=""06067001602""","16.77","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067001701","CA","06067001701","=""06067001701""","3.32","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067001702","CA","06067001702","=""06067001702""","5.21","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067001800","CA","06067001800","=""06067001800""","8.32","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067001900","CA","06067001900","=""06067001900""","4.43","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067002000","CA","06067002000","=""06067002000""","3.30","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067002100","CA","06067002100","=""06067002100""","5.70","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067002200","CA","06067002200","=""06067002200""","7.14","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067002300","CA","06067002300","=""06067002300""","6.60","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067002400","CA","06067002400","=""06067002400""","8.57","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067002500","CA","06067002500","=""06067002500""","20.58","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067002600","CA","06067002600","=""06067002600""","11.54","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067002700","CA","06067002700","=""06067002700""","1.14","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067002800","CA","06067002800","=""06067002800""","3.07","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067002900","CA","06067002900","=""06067002900""","1.73","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067003001","CA","06067003001","=""06067003001""","1.05","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067003002","CA","06067003002","=""06067003002""","9.37","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067003101","CA","06067003101","=""06067003101""","1.28","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067003102","CA","06067003102","=""06067003102""","0.46","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067003202","CA","06067003202","=""06067003202""","2.06","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067003203","CA","06067003203","=""06067003203""","0.72","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067003204","CA","06067003204","=""06067003204""","0.00","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067003300","CA","06067003300","=""06067003300""","6.23","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067003400","CA","06067003400","=""06067003400""","6.86","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067003501","CA","06067003501","=""06067003501""","2.90","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067003502","CA","06067003502","=""06067003502""","1.19","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067003600","CA","06067003600","=""06067003600""","0.73","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067003700","CA","06067003700","=""06067003700""","0.22","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067003800","CA","06067003800","=""06067003800""","1.75","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067003900","CA","06067003900","=""06067003900""","4.90","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004005","CA","06067004005","=""06067004005""","2.71","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004006","CA","06067004006","=""06067004006""","2.37","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004008","CA","06067004008","=""06067004008""","5.60","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004011","CA","06067004011","=""06067004011""","9.50","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004012","CA","06067004012","=""06067004012""","8.06","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004013","CA","06067004013","=""06067004013""","2.41","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004014","CA","06067004014","=""06067004014""","2.19","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004015","CA","06067004015","=""06067004015""","5.35","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004016","CA","06067004016","=""06067004016""","5.12","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004017","CA","06067004017","=""06067004017""","5.98","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004018","CA","06067004018","=""06067004018""","22.28","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004019","CA","06067004019","=""06067004019""","5.03","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004020","CA","06067004020","=""06067004020""","2.28","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004100","CA","06067004100","=""06067004100""","1.55","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004201","CA","06067004201","=""06067004201""","1.11","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004202","CA","06067004202","=""06067004202""","0.40","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004203","CA","06067004203","=""06067004203""","0.00","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004301","CA","06067004301","=""06067004301""","0.00","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004302","CA","06067004302","=""06067004302""","2.54","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004401","CA","06067004401","=""06067004401""","0.21","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004402","CA","06067004402","=""06067004402""","0.64","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004501","CA","06067004501","=""06067004501""","0.00","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004502","CA","06067004502","=""06067004502""","1.81","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004602","CA","06067004602","=""06067004602""","0.73","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004603","CA","06067004603","=""06067004603""","1.63","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004604","CA","06067004604","=""06067004604""","0.00","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004701","CA","06067004701","=""06067004701""","0.79","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004702","CA","06067004702","=""06067004702""","0.00","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004801","CA","06067004801","=""06067004801""","0.79","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004802","CA","06067004802","=""06067004802""","0.00","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004904","CA","06067004904","=""06067004904""","1.84","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004906","CA","06067004906","=""06067004906""","0.74","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004907","CA","06067004907","=""06067004907""","0.77","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004908","CA","06067004908","=""06067004908""","0.00","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004909","CA","06067004909","=""06067004909""","0.66","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067004910","CA","06067004910","=""06067004910""","0.00","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005002","CA","06067005002","=""06067005002""","0.22","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005003","CA","06067005003","=""06067005003""","0.00","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005004","CA","06067005004","=""06067005004""","0.00","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005101","CA","06067005101","=""06067005101""","1.14","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005102","CA","06067005102","=""06067005102""","0.07","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005201","CA","06067005201","=""06067005201""","0.00","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005202","CA","06067005202","=""06067005202""","4.73","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005204","CA","06067005204","=""06067005204""","4.83","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005205","CA","06067005205","=""06067005205""","2.72","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005301","CA","06067005301","=""06067005301""","10.11","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005402","CA","06067005402","=""06067005402""","1.44","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005403","CA","06067005403","=""06067005403""","3.80","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005404","CA","06067005404","=""06067005404""","17.40","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005502","CA","06067005502","=""06067005502""","0.98","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005505","CA","06067005505","=""06067005505""","0.60","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005506","CA","06067005506","=""06067005506""","0.78","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005508","CA","06067005508","=""06067005508""","1.91","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005509","CA","06067005509","=""06067005509""","0.70","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005510","CA","06067005510","=""06067005510""","1.57","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005601","CA","06067005601","=""06067005601""","2.15","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005605","CA","06067005605","=""06067005605""","1.34","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005606","CA","06067005606","=""06067005606""","5.38","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005701","CA","06067005701","=""06067005701""","14.50","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005702","CA","06067005702","=""06067005702""","11.55","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005801","CA","06067005801","=""06067005801""","3.71","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005803","CA","06067005803","=""06067005803""","14.10","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005804","CA","06067005804","=""06067005804""","17.01","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005901","CA","06067005901","=""06067005901""","4.05","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005903","CA","06067005903","=""06067005903""","1.40","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005904","CA","06067005904","=""06067005904""","7.94","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067006002","CA","06067006002","=""06067006002""","0.37","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067006003","CA","06067006003","=""06067006003""","2.90","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067006004","CA","06067006004","=""06067006004""","3.18","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067006101","CA","06067006101","=""06067006101""","0.81","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067006102","CA","06067006102","=""06067006102""","9.87","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067006202","CA","06067006202","=""06067006202""","0.27","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067006203","CA","06067006203","=""06067006203""","0.46","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067006204","CA","06067006204","=""06067006204""","4.33","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067006300","CA","06067006300","=""06067006300""","0.71","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067006400","CA","06067006400","=""06067006400""","1.09","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067006501","CA","06067006501","=""06067006501""","0.00","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067006502","CA","06067006502","=""06067006502""","0.94","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067006600","CA","06067006600","=""06067006600""","0.22","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067006703","CA","06067006703","=""06067006703""","0.00","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067006704","CA","06067006704","=""06067006704""","0.00","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067006705","CA","06067006705","=""06067006705""","0.00","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067006706","CA","06067006706","=""06067006706""","0.00","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067006801","CA","06067006801","=""06067006801""","0.00","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067006802","CA","06067006802","=""06067006802""","0.00","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067006803","CA","06067006803","=""06067006803""","0.00","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067006901","CA","06067006901","=""06067006901""","1.54","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067006902","CA","06067006902","=""06067006902""","3.66","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007001","CA","06067007001","=""06067007001""","0.30","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007007","CA","06067007007","=""06067007007""","0.76","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007010","CA","06067007010","=""06067007010""","4.64","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007011","CA","06067007011","=""06067007011""","2.39","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007012","CA","06067007012","=""06067007012""","1.70","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007013","CA","06067007013","=""06067007013""","0.10","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007016","CA","06067007016","=""06067007016""","0.44","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007017","CA","06067007017","=""06067007017""","4.62","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007019","CA","06067007019","=""06067007019""","0.84","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007020","CA","06067007020","=""06067007020""","3.16","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007021","CA","06067007021","=""06067007021""","0.00","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007022","CA","06067007022","=""06067007022""","2.83","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007023","CA","06067007023","=""06067007023""","1.24","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007024","CA","06067007024","=""06067007024""","0.00","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007025","CA","06067007025","=""06067007025""","5.34","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007026","CA","06067007026","=""06067007026""","0.00","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007027","CA","06067007027","=""06067007027""","3.03","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007028","CA","06067007028","=""06067007028""","2.66","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007101","CA","06067007101","=""06067007101""","0.00","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007103","CA","06067007103","=""06067007103""","1.81","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007105","CA","06067007105","=""06067007105""","2.72","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007106","CA","06067007106","=""06067007106""","3.08","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007107","CA","06067007107","=""06067007107""","2.97","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007108","CA","06067007108","=""06067007108""","3.32","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007109","CA","06067007109","=""06067007109""","1.11","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007110","CA","06067007110","=""06067007110""","3.86","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007111","CA","06067007111","=""06067007111""","1.81","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007202","CA","06067007202","=""06067007202""","0.43","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007204","CA","06067007204","=""06067007204""","0.50","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007206","CA","06067007206","=""06067007206""","0.00","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007207","CA","06067007207","=""06067007207""","0.06","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007208","CA","06067007208","=""06067007208""","1.05","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007209","CA","06067007209","=""06067007209""","0.63","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007301","CA","06067007301","=""06067007301""","0.00","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007402","CA","06067007402","=""06067007402""","0.32","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007403","CA","06067007403","=""06067007403""","1.78","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007413","CA","06067007413","=""06067007413""","0.00","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007414","CA","06067007414","=""06067007414""","0.26","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007415","CA","06067007415","=""06067007415""","0.53","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007416","CA","06067007416","=""06067007416""","0.49","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007417","CA","06067007417","=""06067007417""","0.47","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007422","CA","06067007422","=""06067007422""","0.34","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007423","CA","06067007423","=""06067007423""","0.00","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007424","CA","06067007424","=""06067007424""","0.00","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067007426","CA","06067007426","=""06067007426""","1.06","2018-2022","2022","Census","Sacramento (County, 2022)"
